Date,Snow Water Equivalent (mm)
10/1/2019,0
10/2/2019,0
10/3/2019,0
10/4/2019,0
10/5/2019,0
10/6/2019,0
10/7/2019,0
10/8/2019,0
10/9/2019,0
10/10/2019,0
10/11/2019,0
10/12/2019,0
10/13/2019,0
10/14/2019,0
10/15/2019,0
10/16/2019,0
10/17/2019,0
10/18/2019,0
10/19/2019,0
10/20/2019,5
10/21/2019,5
10/22/2019,5
10/23/2019,10
10/24/2019,10
10/25/2019,10
10/26/2019,13
10/27/2019,13
10/28/2019,13
10/29/2019,18
10/30/2019,23
10/31/2019,23
11/1/2019,28
11/2/2019,28
11/3/2019,28
11/4/2019,28
11/5/2019,28
11/6/2019,28
11/7/2019,28
11/8/2019,28
11/9/2019,28
11/10/2019,28
11/11/2019,28
11/12/2019,28
11/13/2019,28
11/14/2019,28
11/15/2019,28
11/16/2019,28
11/17/2019,28
11/18/2019,28
11/19/2019,28
11/20/2019,41
11/21/2019,46
11/22/2019,56
11/23/2019,56
11/24/2019,56
11/25/2019,56
11/26/2019,61
11/27/2019,69
11/28/2019,71
11/29/2019,71
11/30/2019,86
12/1/2019,86
12/2/2019,89
12/3/2019,89
12/4/2019,89
12/5/2019,97
12/6/2019,107
12/7/2019,107
12/8/2019,109
12/9/2019,117
12/10/2019,117
12/11/2019,117
12/12/2019,117
12/13/2019,119
12/14/2019,119
12/15/2019,124
12/16/2019,124
12/17/2019,124
12/18/2019,124
12/19/2019,124
12/20/2019,124
12/21/2019,127
12/22/2019,127
12/23/2019,127
12/24/2019,127
12/25/2019,135
12/26/2019,140
12/27/2019,145
12/28/2019,147
12/29/2019,147
12/30/2019,147
12/31/2019,147
1/1/2020,147
1/2/2020,152
1/3/2020,152
1/4/2020,152
1/5/2020,155
1/6/2020,155
1/7/2020,155
1/8/2020,155
1/9/2020,155
1/10/2020,157
1/11/2020,157
1/12/2020,160
1/13/2020,163
1/14/2020,168
1/15/2020,168
1/16/2020,170
1/17/2020,173
1/18/2020,180
1/19/2020,180
1/20/2020,180
1/21/2020,185
1/22/2020,193
1/23/2020,193
1/24/2020,196
1/25/2020,196
1/26/2020,196
1/27/2020,196
1/28/2020,203
1/29/2020,206
1/30/2020,206
1/31/2020,206
2/1/2020,206
2/2/2020,206
2/3/2020,206
2/4/2020,206
2/5/2020,206
2/6/2020,208
2/7/2020,213
2/8/2020,213
2/9/2020,213
2/10/2020,213
2/11/2020,213
2/12/2020,213
2/13/2020,213
2/14/2020,213
2/15/2020,216
2/16/2020,216
2/17/2020,218
2/18/2020,218
2/19/2020,218
2/20/2020,218
2/21/2020,218
2/22/2020,218
2/23/2020,221
2/24/2020,224
2/25/2020,224
2/26/2020,224
2/27/2020,226
2/28/2020,226
2/29/2020,229
3/1/2020,229
3/2/2020,229
3/3/2020,229
3/4/2020,229
3/5/2020,229
3/6/2020,229
3/7/2020,231
3/8/2020,231
3/9/2020,231
3/10/2020,236
3/11/2020,236
3/12/2020,239
3/13/2020,241
3/14/2020,246
3/15/2020,251
3/16/2020,251
3/17/2020,254
3/18/2020,254
3/19/2020,257
3/20/2020,274
3/21/2020,279
3/22/2020,284
3/23/2020,290
3/24/2020,295
3/25/2020,295
3/26/2020,295
3/27/2020,295
3/28/2020,297
3/29/2020,300
3/30/2020,307
3/31/2020,310
4/1/2020,310
4/2/2020,305
4/3/2020,307
4/4/2020,307
4/5/2020,307
4/6/2020,302
4/7/2020,295
4/8/2020,295
4/9/2020,290
4/10/2020,282
4/11/2020,282
4/12/2020,274
4/13/2020,274
4/14/2020,279
4/15/2020,282
4/16/2020,282
4/17/2020,292
4/18/2020,292
4/19/2020,282
4/20/2020,282
4/21/2020,284
4/22/2020,284
4/23/2020,284
4/24/2020,279
4/25/2020,282
4/26/2020,264
4/27/2020,254
4/28/2020,234
4/29/2020,216
4/30/2020,198
5/1/2020,180
5/2/2020,155
5/3/2020,135
5/4/2020,112
5/5/2020,94
5/6/2020,76
5/7/2020,53
5/8/2020,30
5/9/2020,15
5/10/2020,0
5/11/2020,0
5/12/2020,0
5/13/2020,0
5/14/2020,0
5/15/2020,0
5/16/2020,0
5/17/2020,0
5/18/2020,0
5/19/2020,0
5/20/2020,0
5/21/2020,0
5/22/2020,0
5/23/2020,0
5/24/2020,0
5/25/2020,0
5/26/2020,0
5/27/2020,0
5/28/2020,0
5/29/2020,0
5/30/2020,0
5/31/2020,0
6/1/2020,0
6/2/2020,0
6/3/2020,0
6/4/2020,0
6/5/2020,0
6/6/2020,0
6/7/2020,0
6/8/2020,0
6/9/2020,10
6/10/2020,0
6/11/2020,0
6/12/2020,0
6/13/2020,0
6/14/2020,0
6/15/2020,0
6/16/2020,0
6/17/2020,0
6/18/2020,0
6/19/2020,0
6/20/2020,0
6/21/2020,0
6/22/2020,0
6/23/2020,0
6/24/2020,0
6/25/2020,0
6/26/2020,0
6/27/2020,0
6/28/2020,0
6/29/2020,0
6/30/2020,0
7/1/2020,0
7/2/2020,0
7/3/2020,0
7/4/2020,0
7/5/2020,0
7/6/2020,0
7/7/2020,0
7/8/2020,0
7/9/2020,0
7/10/2020,0
7/11/2020,0
7/12/2020,0
7/13/2020,0
7/14/2020,0
7/15/2020,0
7/16/2020,0
7/17/2020,0
7/18/2020,0
7/19/2020,0
7/20/2020,0
7/21/2020,0
7/22/2020,0
7/23/2020,0
7/24/2020,0
7/25/2020,0
7/26/2020,0
7/27/2020,0
7/28/2020,0
7/29/2020,0
7/30/2020,0
7/31/2020,0
8/1/2020,0
8/2/2020,0
8/3/2020,0
8/4/2020,0
8/5/2020,0
8/6/2020,0
8/7/2020,0
8/8/2020,0
8/9/2020,0
8/10/2020,0
8/11/2020,0
8/12/2020,0
8/13/2020,0
8/14/2020,0
8/15/2020,0
8/16/2020,0
8/17/2020,0
8/18/2020,0
8/19/2020,0
8/20/2020,0
8/21/2020,0
8/22/2020,0
8/23/2020,0
8/24/2020,0
8/25/2020,0
8/26/2020,0
8/27/2020,0
8/28/2020,0
8/29/2020,0
8/30/2020,0
8/31/2020,0
9/1/2020,0
9/2/2020,0
9/3/2020,0
9/4/2020,0
9/5/2020,0
9/6/2020,0
9/7/2020,0
9/8/2020,0
9/9/2020,18
9/10/2020,15
9/11/2020,15
9/12/2020,8
9/13/2020,0
9/14/2020,0
9/15/2020,0
9/16/2020,0
9/17/2020,0
9/18/2020,0
9/19/2020,0
9/20/2020,0
9/21/2020,0
9/22/2020,0
9/23/2020,0
9/24/2020,0
9/25/2020,0
9/26/2020,0
9/27/2020,0
9/28/2020,0
9/29/2020,0
9/30/2020,0
