system:time_start,NDSI_Snow_Cover
"Dec 1, 2019",61.52
"Dec 2, 2019",68.185
"Dec 3, 2019",
"Dec 4, 2019",74.961
"Dec 5, 2019",
"Dec 6, 2019",72.372
"Dec 7, 2019",
"Dec 8, 2019",
"Dec 9, 2019",
"Dec 10, 2019",64.926
"Dec 11, 2019",
"Dec 12, 2019",
"Dec 13, 2019",
"Dec 14, 2019",
"Dec 15, 2019",
"Dec 16, 2019",
"Dec 17, 2019",58.281
"Dec 18, 2019",
"Dec 19, 2019",57.533
"Dec 20, 2019",70.9
"Dec 21, 2019",59
"Dec 22, 2019",
"Dec 23, 2019",
"Dec 24, 2019",
"Dec 25, 2019",
"Dec 26, 2019",
"Dec 27, 2019",
"Dec 28, 2019",
"Dec 29, 2019",69.294
"Dec 30, 2019",
"Dec 31, 2019",69.482
"Jan 1, 2020",
"Jan 2, 2020",
"Jan 3, 2020",62.793
"Jan 4, 2020",
"Jan 5, 2020",75.781
"Jan 6, 2020",60.939
"Jan 7, 2020",77.624
"Jan 8, 2020",
"Jan 9, 2020",
"Jan 10, 2020",
"Jan 11, 2020",
"Jan 12, 2020",
"Jan 13, 2020",
"Jan 14, 2020",63.593
"Jan 15, 2020",56.459
"Jan 16, 2020",
"Jan 17, 2020",
"Jan 18, 2020",49.781
"Jan 19, 2020",63.845
"Jan 20, 2020",
"Jan 21, 2020",
"Jan 22, 2020",
"Jan 23, 2020",
"Jan 24, 2020",66.069
"Jan 25, 2020",68.984
"Jan 26, 2020",
"Jan 27, 2020",
"Jan 28, 2020",67.187
"Jan 29, 2020",
"Jan 30, 2020",
"Jan 31, 2020",
"Feb 1, 2020",
"Feb 2, 2020",59.957
"Feb 3, 2020",
"Feb 4, 2020",53.24
"Feb 5, 2020",
"Feb 6, 2020",
"Feb 7, 2020",
"Feb 8, 2020",77.356
"Feb 9, 2020",
"Feb 10, 2020",62.526
"Feb 11, 2020",63.606
"Feb 12, 2020",
"Feb 13, 2020",57.302
"Feb 14, 2020",59.658
"Feb 15, 2020",
"Feb 16, 2020",
"Feb 17, 2020",
"Feb 18, 2020",55.677
"Feb 19, 2020",67.856
"Feb 20, 2020",68.659
"Feb 21, 2020",64.594
"Feb 22, 2020",
"Feb 23, 2020",
"Feb 24, 2020",57.525
"Feb 25, 2020",46.564
"Feb 26, 2020",62.985
"Feb 27, 2020",61.65
"Feb 28, 2020",63.053
"Feb 29, 2020",63.55
"Mar 1, 2020",
"Mar 2, 2020",
"Mar 3, 2020",58.421
"Mar 4, 2020",71.384
"Mar 5, 2020",65.265
"Mar 6, 2020",
"Mar 7, 2020",73.515
"Mar 8, 2020",
"Mar 9, 2020",
"Mar 10, 2020",
"Mar 11, 2020",
"Mar 12, 2020",
"Mar 13, 2020",
"Mar 14, 2020",
"Mar 15, 2020",
"Mar 16, 2020",76.508
"Mar 17, 2020",
"Mar 18, 2020",
"Mar 19, 2020",
"Mar 20, 2020",53
"Mar 21, 2020",
"Mar 22, 2020",
"Mar 23, 2020",
"Mar 24, 2020",
"Mar 25, 2020",
"Mar 26, 2020",61.275
"Mar 27, 2020",
"Mar 28, 2020",
"Mar 29, 2020",
"Mar 30, 2020",
"Mar 31, 2020",67.076
"Apr 1, 2020",73.238
"Apr 2, 2020",
"Apr 3, 2020",68.856
"Apr 4, 2020",
"Apr 5, 2020",72.4
"Apr 6, 2020",69.241
"Apr 7, 2020",78.246
"Apr 8, 2020",84.214
"Apr 9, 2020",74.748
"Apr 10, 2020",81.036
"Apr 11, 2020",65.714
"Apr 12, 2020",65.374
"Apr 13, 2020",
"Apr 14, 2020",65.21
"Apr 15, 2020",
"Apr 16, 2020",
"Apr 17, 2020",69.89
"Apr 18, 2020",53.169
"Apr 19, 2020",67.395
"Apr 20, 2020",
"Apr 21, 2020",
"Apr 22, 2020",52.769
"Apr 23, 2020",
"Apr 24, 2020",49
"Apr 25, 2020",66.082
"Apr 26, 2020",
"Apr 27, 2020",
"Apr 28, 2020",85.574
"Apr 29, 2020",80.559
"Apr 30, 2020",
"May 1, 2020",85.094
"May 2, 2020",
"May 3, 2020",84.96
"May 4, 2020",
"May 5, 2020",84.935
"May 6, 2020",
"May 7, 2020",76.839
"May 8, 2020",78.985
"May 9, 2020",69.284
"May 10, 2020",
"May 11, 2020",
"May 12, 2020",48.266
"May 13, 2020",
"May 14, 2020",
"May 15, 2020",
"May 16, 2020",35.267
"May 17, 2020",
"May 18, 2020",42.066
"May 19, 2020",43.892
"May 20, 2020",
"May 21, 2020",22.787
"May 22, 2020",11.281
"May 23, 2020",
"May 24, 2020",2.23
"May 25, 2020",0
"May 26, 2020",0
"May 27, 2020",0
"May 28, 2020",3.17
"May 29, 2020",0
"May 30, 2020",0
"May 31, 2020",0
"Jun 1, 2020",0
"Jun 2, 2020",0
"Jun 3, 2020",0
"Jun 4, 2020",0
"Jun 5, 2020",0
"Jun 6, 2020",
"Jun 7, 2020",0
"Jun 8, 2020",0
"Jun 9, 2020",
"Jun 10, 2020",0
"Jun 11, 2020",0
"Jun 12, 2020",0
"Jun 13, 2020",
"Jun 14, 2020",0
"Jun 15, 2020",0
"Jun 16, 2020",0
"Jun 17, 2020",0
"Jun 18, 2020",0
"Jun 19, 2020",0
"Jun 20, 2020",0
"Jun 21, 2020",0
"Jun 22, 2020",0
"Jun 23, 2020",0
"Jun 24, 2020",0
"Jun 25, 2020",0
"Jun 26, 2020",0
"Jun 27, 2020",0
"Jun 28, 2020",
"Jun 29, 2020",0
"Jun 30, 2020",0
"Jul 1, 2020",0
"Jul 2, 2020",0
"Jul 3, 2020",
"Jul 4, 2020",
"Jul 5, 2020",1.361
"Jul 6, 2020",
"Jul 7, 2020",0
"Jul 8, 2020",0
"Jul 9, 2020",0
"Jul 10, 2020",0
"Jul 11, 2020",0
"Jul 12, 2020",0
"Jul 13, 2020",0
"Jul 14, 2020",
"Jul 15, 2020",0
"Jul 16, 2020",0
"Jul 17, 2020",
"Jul 18, 2020",0
"Jul 19, 2020",
"Jul 20, 2020",0
"Jul 21, 2020",0
"Jul 22, 2020",
"Jul 23, 2020",
"Jul 24, 2020",
"Jul 25, 2020",
"Jul 26, 2020",0
"Jul 27, 2020",43.343
"Jul 28, 2020",0
"Jul 29, 2020",0
"Jul 30, 2020",0
